accession_id	sequence_length
MK016299.1	1485
MK016298.1	1485
MK016297.1	1485
MK016296.1	1485
MK016295.1	1485
MK016294.1	1485
MK016293.1	1485
MK016292.1	1485
MK016291.1	1485
MK016290.1	1485
MH985859.1	10722
MH985858.1	10723
MG872819.1	444
KY057373.1	10735
KY057372.1	10735
KY057371.1	10735
KY057370.1	10735
KY057369.1	10735
KY057368.1	10735
KY057367.1	10735
KY057366.1	10735
KY057365.1	10735
MG767211.1	10700
MF682975.1	10707
MF682974.1	10707
MF682973.1	10707
MF682972.1	10707
MF682971.1	10707
MF682970.1	10707
MF682969.1	10707
MF682968.1	10707
MF682967.1	10707
MF682966.1	10707
MG727535.1	1485
MH220201.1	389
MH220200.1	314
MH488959.1	10068
MH431925.1	406
MH431924.1	406
MH431923.1	406
MH431922.1	406
MH431921.1	406
MH431920.1	406
MH431919.1	406
MH431918.1	406
MH431917.1	406
LQ905249.1	10161
LQ905248.1	10170
LQ905247.1	10173
LQ905246.1	10176
LQ905245.1	10161
LQ905244.1	10170
LQ905243.1	10173
LQ905242.1	10176
LQ905241.1	10161
LQ905240.1	10170
LQ905239.1	10173
LQ905238.1	10176
LQ905237.1	10161
LQ905236.1	10170
LQ905235.1	10173
LQ905234.1	10176
MH612262.2	1485
MH612261.2	1485
MH612260.2	1485
MH612259.2	1485
MH612258.2	1485
MH612257.2	1485
MH612256.2	1485
MH612255.2	1485
MH612253.2	1485
MH612252.2	1485
MH612251.2	1485
MH612250.2	1485
MH612249.2	1485
MH612248.2	1485
MH612247.2	1485
MH612246.2	1485
MH612245.2	1485
MH612244.2	1485
MH612243.2	1485
MH612242.2	1485
MH612241.2	1485
MH612240.2	1485
MH612238.2	1485
MH612237.2	1485
MH612236.2	1485
MH612235.2	1485
MH612234.2	1485
MH612233.2	1485
MH612232.2	1485
MH612231.2	1485
MH612230.2	1485
MH612229.2	1485
MH612228.2	1485
MH612227.2	1485
MH612226.2	1485
MH612225.2	1485
MH612224.2	1485
MH612223.2	1485
MH612222.2	1485
MH612221.2	1485
MH612220.2	1485
MH612219.2	1485
MH612218.2	1485
MH612217.2	1485
MH612216.2	1485
MH612215.2	1485
MH612214.2	1485
MH612213.2	1485
MH612212.2	1485
MH612211.2	1485
MH612210.2	1485
MH612209.2	1485
MH612208.2	1485
MH612207.2	1485
MH612205.2	1485
MH612204.2	1485
MH612203.2	1485
MH612202.2	1485
MH612201.2	1485
MH612200.2	1485
MH612199.2	1485
MH612198.2	1485
MH612197.2	1485
MH612196.2	1485
MH612195.2	1485
MH612194.2	1485
MH612193.2	1485
MH612191.2	1485
MH612190.2	1485
MH612189.2	1485
MH612188.2	1485
MH612187.2	1485
MH612186.2	1485
MH612185.2	1485
MH612184.2	1485
MH612183.2	1485
MH612182.2	1485
MH612180.2	1485
MH612179.2	1485
MH612178.2	1485
MH612177.2	1485
MH612176.2	1485
MH612174.2	1485
MH612173.2	1485
MH612172.2	1485
MH612171.2	1485
MH612169.2	1485
MH612168.2	1485
MH612167.2	1485
MH612166.2	1485
MH612165.2	1485
MH612164.2	1485
MH612163.2	1485
MH612162.2	1485
MH612161.2	1485
MH612160.2	1485
MH612159.2	1485
MH612158.2	1485
MH612157.2	1485
MH612156.2	1485
MH612153.2	1485
MH612152.2	1485
MH612151.2	1485
MH612149.2	1485
MH612148.2	1485
MH612146.2	1485
MH612145.2	1485
MH612143.2	1485
MH612142.2	1485
MH612141.2	1485
MH612140.2	1485
MH612139.2	1485
MH612138.2	1485
MH612137.2	1485
MH612136.2	1485
MH612135.2	1485
MH612134.2	1485
MH612133.2	1485
MH612132.2	1485
MH612131.2	1485
MH612130.2	1485
MH612129.2	1485
MH612128.2	1485
MH612127.2	1485
MH612126.2	1485
MH612125.2	1485
MH612124.2	1485
MH612123.2	1485
MH612122.2	1485
MH612121.2	1485
MH612120.2	1485
MH612119.2	1485
MH612118.2	1485
MH612117.2	1485
MH612116.2	1485
MH612115.2	1485
MH612114.2	1485
MH612113.2	1485
MH612112.2	1485
MH612111.2	1485
MH612110.2	1485
MH612109.2	1485
MH612108.2	1485
MH612107.2	1485
MH612106.2	1485
MH612105.2	1485
MH612104.2	1485
MH612103.2	1485
MH612102.2	1485
MH612101.2	1485
MH612100.2	1485
MH612099.2	1485
MH612098.2	1485
MH612097.2	1485
MH612096.2	1485
MH612095.2	1485
MH612094.2	1485
MH612093.2	1485
MH612092.2	1485
MH612091.2	1485
MH612090.2	1485
MH612089.2	1485
MH612088.2	1485
MH612087.2	1485
MH612086.2	1485
MH612085.2	1485
MH612083.2	1485
MH612082.2	1485
MH612081.2	1485
MH612080.2	1485
MH612079.2	1485
MH612078.2	1485
MH612077.2	1485
MH612076.2	1485
MH612075.2	1485
MH612074.2	1485
MH612073.2	1485
MH612072.2	1485
MH612071.2	1485
MH612069.2	1485
MH612068.2	1485
MH612067.2	1485
MH612066.2	1485
MH612065.2	1485
MH612064.2	1485
MH612063.2	1485
MH612062.2	1485
MH612060.2	1485
MH612059.2	1485
MH612058.2	1485
MH612057.2	1485
MH612056.2	1485
MH612055.2	1485
MH612054.2	1485
MH612053.2	1485
MH612052.2	1485
MH612051.2	1485
MH612050.2	1485
MH612049.2	1485
MH612048.2	1485
MH612047.2	1485
MH612046.2	1485
MH612045.2	1485
MH612044.2	1485
MH612043.2	1485
MH612042.2	1485
MH612040.2	1485
MH612039.2	1485
MH612038.2	1485
MH612037.2	1485
MH612036.2	1485
MH612035.2	1485
MH612034.2	1485
MH612033.2	1485
MH612032.2	1485
MH612031.2	1485
MH612030.2	1485
MH612028.2	1485
MH612027.2	1485
MH612026.2	1485
MH612025.2	1485
MH612024.2	1485
MH612023.2	1485
MH612022.2	1485
MH612021.2	1485
MH612020.2	1485
MH612019.2	1485
MH612018.2	1485
MH612017.2	1485
MH612016.2	1485
MH612015.2	1485
MH612014.2	1485
MH612013.2	1485
MH612012.2	1485
MH612011.2	1485
MH612010.2	1485
MH612009.2	1485
MH612008.2	1485
MH612007.2	1485
MH612006.2	1485
MH612005.2	1485
MH612004.2	1485
MH612003.2	1485
MH612002.2	1485
MH612001.2	1485
MH612000.2	1485
MH611999.2	1485
MH611998.2	1485
MH611997.2	1485
MH611996.2	1485
MH611995.2	1485
MH611994.2	1485
MH611993.2	1485
MH611992.2	1485
MH611991.2	1485
MH611990.2	1485
MH611989.2	1485
MH611988.2	1485
MH611987.2	1485
MH611986.2	1485
MH611985.2	1485
MH611984.2	1485
MH611983.2	1485
MH611982.2	1485
MH611981.2	1485
MH611980.2	1485
MH611979.2	1485
MH611978.2	1485
MH611977.2	1485
MH611976.2	1485
MH611975.2	1485
MH611974.2	1485
MH611973.2	1485
MH611972.2	1485
MH611971.2	1485
MH611970.2	1485
MH611969.2	1485
MH611968.2	1485
MH611967.2	1485
MH611966.2	1485
MH611965.2	1485
MH611964.2	1485
MH611963.2	1485
MH611962.2	1485
MH611961.2	1485
MH611960.2	1485
MH611959.2	1485
MH611958.2	1485
MH611957.2	1485
MH611956.2	1485
MH611955.2	1485
MH611954.2	1485
MH611953.2	1485
MH611952.2	1485
MH611950.2	1485
MH611949.2	1485
MH611947.2	1485
MH611946.2	1485
MH611945.2	1485
MH611944.2	1485
MH611943.2	1485
MH611942.2	1485
MH611941.2	1485
MH611940.2	1485
MH611939.2	1485
MH611938.2	1485
MH611937.2	1485
MH611936.2	1485
MH611935.2	1485
MH611934.2	1485
MH611933.2	1485
MH611932.2	1485
MH611931.2	1485
MH611930.2	1485
MH611929.2	1485
MH611928.2	1485
MH611927.2	1485
MH611926.2	1485
MH611925.2	1485
MH611924.2	1485
MH611923.2	1485
MH611922.2	1485
MH611921.2	1485
MH611920.2	1485
MH611919.2	1485
MH611918.2	1485
MH611917.2	1485
MH611916.2	1485
MH611915.2	1485
MH611914.2	1485
MH611913.2	1485
MH611912.2	1485
MH611911.2	1485
MH611910.2	1485
MH611909.2	1485
MH611908.2	1485
MH611907.2	1485
MH611906.2	1485
MH611905.2	1485
MH611904.2	1485
MH611903.2	1485
MH611902.2	1485
MH611901.2	1485
MH611900.2	1485
MH611899.2	1485
MH611898.2	1485
MH611897.2	1485
MH611896.2	1485
MH611895.2	1485
MH611893.2	1485
MH611892.2	1485
MH611890.2	1485
MH611889.2	1485
MH611888.2	1485
MH611887.2	1485
MH611886.2	1485
MH611885.2	1485
MH611884.2	1485
MH611883.2	1485
MH611882.2	1485
MH611881.2	1485
MH611880.2	1485
MH611879.2	1485
MH611878.2	1485
MH611877.2	1485
MH611876.2	1485
MH611874.2	1485
MH611873.2	1485
MH611871.2	1485
MH611870.2	1485
MH611869.2	1485
MH611868.2	1485
MH611867.2	1485
MH611865.2	1485
MH611862.2	1485
MH611861.2	1485
MH611859.2	1485
MH611858.2	1485
MH611857.2	1485
MH611856.2	1485
MH611855.2	1485
MH611854.2	1485
MH611853.2	1485
MH611852.2	1485
MH611851.2	1485
MH611848.2	1485
MH611847.2	1485
MH611845.2	1485
MH611844.2	1485
MH611843.2	1485
MH611841.2	1485
MH611839.2	1485
MH611837.2	1485
MH611836.2	1485
MH611834.2	1485
MH611832.2	1485
MH611830.2	1485
MH611829.2	1485
MH611828.2	1485
MH611827.2	1485
MH611825.2	1485
MH611824.2	1485
MH611823.2	1485
MH611821.2	1485
MH611820.2	1485
MH611818.2	1485
MH611817.2	1485
MH611816.2	1485
MH611815.2	1485
MH611814.2	1485
MH611813.2	1485
MH611812.2	1485
MH611811.2	1485
MH611810.2	1485
MH611808.2	1485
MH611807.2	1485
MH611806.2	1485
MH611805.2	1485
MH611804.2	1485
MH611803.2	1485
MH611802.2	1485
MH611801.2	1485
MH611800.2	1485
MH611799.2	1485
MH611798.2	1485
MH611797.2	1485
MH611795.2	1485
MH611794.2	1485
MH611793.2	1485
MH611791.2	1485
MH611790.2	1485
MH611789.2	1485
MH611788.2	1485
MH611787.2	1485
MH611786.2	1485
MH611785.2	1485
MH611784.2	1485
MH611782.2	1485
MH611781.2	1485
MH611780.2	1485
MH611779.2	1485
MH611778.2	1485
MH611776.2	1485
MH611775.2	1485
MH611774.2	1485
MH611773.2	1485
MH611772.2	1485
MH611771.2	1485
MH611770.2	1485
MH611768.2	1485
MH611767.2	1485
MH611766.2	1485
MH611765.2	1485
MH611763.2	1485
MH611762.2	1485
MH611761.2	1485
MH611760.2	1485
MH611759.2	1485
MH611757.2	1485
MH611756.2	1485
MH611755.2	1485
MH611753.2	1485
MH611752.2	1485
MH611751.2	1485
MH611750.2	1485
MH611749.2	1485
MH611748.2	1485
MH611746.2	1485
MH611745.2	1485
MH611744.2	1485
MH611743.2	1485
MH611741.2	1485
MH611740.2	1485
MH611739.2	1485
MH611738.2	1485
MH611737.2	1485
MH611736.2	1485
MH611734.2	1485
MH611733.2	1485
MH611732.2	1485
MH611731.2	1485
MH611730.2	1485
MH611729.2	1485
MH611728.2	1485
MH611727.2	1485
MH611726.2	1485
MH611725.2	1485
MH611724.2	1485
MH611723.2	1485
MH611722.2	1485
MH611721.2	1485
MH611720.2	1485
MH611719.2	1485
MH611718.2	1485
MH611717.2	1485
MH611716.2	1485
MH611715.2	1485
MH611714.2	1485
MH611713.2	1485
MH611711.2	1485
MH611710.2	1485
MH611709.2	1485
MH611707.2	1485
MH611706.2	1485
MH611705.2	1485
MH611704.2	1485
MH611703.2	1485
MH611702.2	1485
MH611701.2	1485
MH611700.2	1485
MH611699.2	1485
MH611698.2	1485
MH611697.2	1485
MH611696.2	1485
MH611695.2	1485
MH611694.2	1485
MH611693.2	1485
MH611692.2	1485
MH611691.2	1485
MH611690.2	1485
MH611689.2	1485
MH611688.2	1485
MH611687.2	1485
MH611686.2	1485
MH611685.2	1485
MH611684.2	1485
MH611683.2	1485
MH611682.2	1485
MH611681.2	1485
MH611680.2	1485
MH611679.2	1485
MH611678.2	1485
MH611677.2	1485
MH611676.2	1485
MH611675.2	1485
MH611674.2	1485
MH611673.2	1485
MH611672.2	1485
MH611671.2	1485
MH611670.2	1485
MH611669.2	1485
MH611668.2	1485
MH611667.2	1485
MH611666.2	1485
MH611665.2	1485
MH611664.2	1485
MH611663.2	1485
MH611662.2	1485
MH611661.2	1485
MH611660.2	1485
MH611659.2	1485
MH611658.2	1485
MH611657.2	1485
MH611656.2	1485
MH611655.2	1485
MH611654.2	1485
MH611653.2	1485
MH611652.2	1485
MH611651.2	1485
MH611650.2	1485
MH611649.2	1485
MH611648.2	1485
MH611647.2	1485
MH611646.2	1485
MH611645.2	1485
MH611644.2	1485
MH611643.2	1485
MH611642.2	1485
MH611641.2	1485
MH611640.2	1485
MH611639.2	1485
MH611638.2	1485
MH611637.2	1485
MH611636.2	1485
MH611635.2	1485
MH611634.2	1485
MH611633.2	1485
MH611632.2	1485
MH611631.2	1485
MH611630.2	1485
MH611629.2	1485
MH611628.2	1485
MH611627.2	1485
MH611626.2	1485
MH611625.2	1485
MH611624.2	1485
MH611623.2	1485
MH611622.2	1485
MH611621.2	1485
MH611620.2	1485
MH611619.2	1485
MH611618.2	1485
MH611617.2	1485
MH611616.2	1485
MH611615.2	1485
MH611614.2	1485
MH611613.2	1485
MH611612.2	1485
MH611611.2	1485
MH611610.2	1485
MH611609.2	1485
MH611608.2	1485
MH611607.2	1485
MH611606.2	1485
MH611605.2	1485
MH611604.2	1485
MH611603.2	1485
MH611602.2	1485
MH611601.2	1485
MH611600.2	1485
MH611599.2	1485
MH611598.2	1485
MH611597.2	1485
MH611596.2	1485
MH611595.2	1485
MH611594.2	1485
MH611593.2	1485
MH611592.2	1485
MH611591.2	1485
MH611590.2	1485
MH611589.2	1485
MH611588.2	1485
MH611587.2	1485
MH611586.2	1485
MH611585.2	1485
MH611584.2	1485
MH611583.2	1485
MH611582.2	1485
MH611581.2	1485
MH611580.2	1485
MH611579.2	1485
MH611578.2	1485
MH611577.2	1485
MH611576.2	1485
MH611575.2	1485
MH611574.2	1485
MH611573.2	1485
MH611572.2	1485
MH611571.2	1485
MH611570.2	1485
MH611569.2	1485
MH611568.2	1485
MH611567.2	1485
MH611566.2	1485
MH611565.2	1485
MH611564.2	1485
MH611562.2	1485
MH611561.2	1485
MH611560.2	1485
MH611559.2	1485
MH611558.2	1485
MH611557.2	1485
MH611556.2	1485
MH611555.2	1485
MH611554.2	1485
MH611553.2	1485
MH611552.2	1485
MH611551.2	1485
MH611550.2	1485
MH611549.2	1485
MH611548.2	1485
MH611547.2	1485
MH611546.2	1485
MH611545.2	1485
MH611543.2	1485
MH611542.2	1485
MH611541.2	1485
MH611540.2	1485
MH611539.2	1485
MH611538.2	1485
MH611537.2	1485
MH611536.2	1485
MH611535.2	1485
MH611534.2	1485
MH611533.2	1485
MH611532.2	1485
MH611531.2	1485
MH611530.2	1485
MH611529.2	1485
MH611528.2	1485
MH611527.2	1485
MH611526.2	1485
MH611525.2	1485
MH611524.2	1485
MH611523.2	1485
MH611522.2	1485
MH611521.2	1485
MH611520.2	1485
MG003173.1	481
MG003172.1	450
MG003171.1	497
MG003170.1	487
MG003169.1	481
MG003168.1	482
MG003167.1	483
MG003166.1	481
MG003165.1	482
MG003164.1	460
MG003163.1	459
MG003162.1	452
MG003161.1	486
MG003160.1	481
MG003159.1	479
MG003158.1	478
MG003157.1	479
MG003156.1	481
MG003155.1	488
MG003154.1	483
MG003153.1	468
MG003152.1	484
MG003151.1	484
MG003150.1	487
MG003149.1	484
MG003148.1	483
MG003147.1	486
MG003146.1	488
MG560151.1	461
MG560150.1	461
MG560149.1	447
MG560148.1	447
MG560147.1	749
MG560146.1	749
MG560145.1	749
MG560144.1	10670
MG560143.1	10723
LC421503.1	712
MG518567.1	10080
MG875341.1	350
MG875340.1	362
MG875339.1	350
MG875338.1	350
MG875337.1	350
MG875336.1	350
MG875335.1	348
MG875334.1	362
MG875333.1	350
MH382789.1	10653
MG778911.1	1070
MG778910.1	521
KY887637.1	1485
KY887636.1	1485
KY887635.1	1485
KY887634.1	1485
KY887633.1	1485
KY887632.1	1485
KY887631.1	1485
KY887630.1	1485
KY887629.1	1485
KY887628.1	1485
KY887627.1	1485
KY887626.1	1485
KY887625.1	1485
KY887624.1	1485
KY887623.1	1485
KY887622.1	1485
KY887621.1	1485
KY887620.1	1485
KY887619.1	1485
KY887618.1	1485
KY887617.1	1485
KY887616.1	1485
KY887615.1	1485
KY887614.1	1485
KY887613.1	1485
KY887612.1	1485
KY887611.1	1485
KY887610.1	1485
KY887609.1	1485
KY887608.1	1485
KY887607.1	1485
KX901661.1	1485
KX901660.1	1485
KX901659.1	1485
KX901658.1	1485
KX901657.1	1485
KX901656.1	1485
KX901655.1	1485
KX901654.1	1485
KX901653.1	1485
KX901652.1	1485
KX901651.1	1485
KX901650.1	1485
KX901649.1	1485
KX901648.1	1485
KX901647.1	1485
KX901646.1	1485
KX901645.1	1485
LQ868408.1	2058
LQ868407.1	2058
LQ868406.1	2058
LQ868405.1	2058
LQ868404.1	2058
LQ868403.1	2058
LQ868402.1	2058
LQ868401.1	2058
LQ868400.1	2058
LQ868395.1	10649
LQ868394.1	10707
LQ868393.1	10723
LQ868392.1	10735
LQ868391.1	2058
LQ868390.1	2058
LQ868389.1	2058
LQ868388.1	2058
LQ868387.1	2058
LQ868386.1	2058
LQ868385.1	2058
LQ868384.1	2058
LQ868383.1	2058
LQ868378.1	10649
LQ868377.1	10707
LQ868376.1	10723
LQ868375.1	10735
MH456900.1	2407
MH456899.1	7859
MH456898.1	10173
MH456897.1	10173
MH456896.1	4272
MH456895.1	10173
MH456894.1	8372
MH456893.1	10173
MH456892.1	10093
MG252528.1	453
MG252527.1	453
MG252526.1	452
MG252525.1	519
MG933867.1	1485
MG933866.1	1485
MG933865.1	1485
MG933864.1	1485
MG933863.1	1485
MG933862.1	1485
MG933861.1	1485
MG933860.1	1485
MG933859.1	1485
MG933858.1	1485
MG933857.1	1485
MG933856.1	1485
MG933855.1	1485
MG933854.1	1485
MG933853.1	1485
MG933852.1	1485
MG933851.1	1485
MG933850.1	1479
MG933849.1	1479
MG933848.1	1479
MG933847.1	1479
MG933846.1	1485
MG933845.1	1485
MG933844.1	1485
MG933843.1	1485
MG933842.1	1485
MG933841.1	1485
MG933840.1	1485
MG933839.1	1485
MG933838.1	1485
MG933837.1	1485
MG933836.1	1485
MG933835.1	1485
MG933834.1	1485
MG933833.1	1485
MG933832.1	1485
MG933831.1	1485
MG933830.1	1485
MG933829.1	1485
MG933828.1	1485
MG933827.1	1485
MG933826.1	1485
MG933825.1	1485
MG933824.1	1485
MG933823.1	1485
MG933822.1	1485
MG933821.1	1485
MG933820.1	1485
MG933819.1	1485
MG933818.1	1485
MG933817.1	1485
MG933816.1	1485
MG933815.1	1485
MG933814.1	1485
MG933813.1	1485
MG933812.1	1485
MG933811.1	1485
MG933810.1	1485
MG933809.1	1485
MG933808.1	1485
MG933807.1	1485
MG933806.1	1485
MH110734.1	1485
MH110733.1	1485
MH110732.1	1485
MH110731.1	1485
MH110730.1	1485
MH110729.1	1485
MH110728.1	1485
MH110727.1	1485
MH110726.1	1485
MH110725.1	1485
MH110724.1	1485
MH110723.1	1485
MH110722.1	1485
MH110721.1	1485
MH110720.1	1485
MH110719.1	1485
MH110718.1	1485
MH110717.1	1485
MH110716.1	1485
MH110715.1	1485
MH110714.1	1485
MH110713.1	1485
MH110712.1	1485
MH110711.1	1485
MH110710.1	1485
MH110709.1	1485
MH110708.1	1485
MH110707.1	1485
MH110706.1	1485
MH110705.1	1485
MH110704.1	1485
MH110703.1	1485
MH110702.1	1485
MH110701.1	1485
MH110700.1	1485
MH110699.1	1485
MH110698.1	1485
MH110697.1	1485
MH110696.1	1485
MH110695.1	1485
MH110694.1	1485
MH110693.1	1485
MH110692.1	1485
MH110691.1	1485
MH110690.1	1485
MH110689.1	1485
MH110688.1	1485
MH110687.1	1485
MH110686.1	1485
MH110685.1	1485
MH110684.1	1485
MH110683.1	1485
MH110682.1	1485
MH110681.1	1485
MH110680.1	1485
MH110679.1	1485
MH110678.1	1485
MH110677.1	1485
MH110676.1	1485
MH110675.1	1485
MH110674.1	1485
MH110673.1	1485
MH110672.1	1485
MH110671.1	1485
MH110670.1	1485
MH110669.1	1485
MH110668.1	1485
MH110667.1	1485
MH110666.1	1485
MH110665.1	1485
MH110664.1	1485
MH110663.1	1485
MH110662.1	1485
MH110661.1	1485
MH110660.1	1485
MH110659.1	1485
MH110658.1	1485
MH110657.1	1485
MH110656.1	1485
MH110655.1	1485
MH110654.1	1485
MH110653.1	1485
MH110652.1	1485
MH110651.1	1485
MH110650.1	1485
MH110649.1	1485
MH110648.1	1485
MH110647.1	1485
MH110646.1	1485
MH110645.1	1485
MH110644.1	1485
MH110643.1	1485
MH110642.1	1485
MH110641.1	1485
MH110640.1	1485
MH110639.1	1485
MH110638.1	1485
MH110637.1	1485
MH110636.1	1485
MH110635.1	1485
MH110634.1	1485
MH110633.1	1485
MH110632.1	1485
MH110631.1	1485
MH110630.1	1485
MH110629.1	1485
MH110628.1	1485
MH110627.1	1485
MH110626.1	1485
MH110625.1	1485
MH110624.1	1485
MH110623.1	1485
MH110622.1	1485
MH110621.1	1485
MH110620.1	1485
MH110619.1	1485
MH110618.1	1485
MH110617.1	1485
MH110616.1	1485
MH110615.1	1485
MH110614.1	1485
MH110613.1	1485
MH110612.1	1485
MH110611.1	1485
MH110610.1	1485
MH110609.1	1485
MH110608.1	1485
MH110607.1	1485
MH110606.1	1485
MH110605.1	1485
MH110604.1	1485
MH110603.1	10176
MH110602.1	10176
MH110601.1	10176
MH110600.1	10176
MH110599.1	10176
MH110598.1	10176
MH110597.1	10176
MH110596.1	10176
MH110595.1	10176
MH110594.1	10176
MH110593.1	10176
MH110592.1	10176
MH110591.1	10176
MH110590.1	10176
MH110589.1	10176
MH110588.1	10176
MH110587.1	10176
MH110586.1	10176
MH110585.1	10176
MH110584.1	10176
MH110583.1	10176
MH110582.1	10176
MH110581.1	10176
MH110580.1	10176
MH110579.1	10176
MH110578.1	10176
MH110577.1	10176
MH110576.1	10176
MH110575.1	10176
MH110574.1	10176
MH110573.1	10176
MH110572.1	10176
MH110571.1	10176
MH110570.1	10176
MH110569.1	10176
MH110568.1	10176
MH110567.1	10176
MH110566.1	10176
MH110565.1	10176
MH110564.1	10176
MG450890.1	514
MG450889.1	514
MG450888.1	514
MG450887.1	514
MG450886.1	514
MG450885.1	514
MG450884.1	514
MG450883.1	514
MG450882.1	514
MG450881.1	514
MG450880.1	514
MG450879.1	514
MG450878.1	514
MG450877.1	514
MG450876.1	514
MG450875.1	514
MG450874.1	514
MG450873.1	514
MG450872.1	514
MG450871.1	514
MG450870.1	514
MG450869.1	514
MG450868.1	514
MG450867.1	514
MG450866.1	514
MG450865.1	514
MG450864.1	514
MG450863.1	514
MG450862.1	514
MG450861.1	514
MG450860.1	514
MG450859.1	514
MG450914.1	497
MG450913.1	497
MG450912.1	497
MG450911.1	497
MG450910.1	479
MG450909.1	479
MG450908.1	479
MG450907.1	479
MG450906.1	479
MG450905.1	479
MG450904.1	479
MG450903.1	479
MG450902.1	479
MG450901.1	479
MG450900.1	479
MG450899.1	479
MG450898.1	479
MG450897.1	479
MG450896.1	479
MG450895.1	479
MG450894.1	479
MG450893.1	479
MG450892.1	479
MG450891.1	479
MG450858.1	494
MG450857.1	494
MG450856.1	494
MG450855.1	494
MG450854.1	494
MG450853.1	494
MG450852.1	494
MG450851.1	494
MG450850.1	494
MG450849.1	494
MG450848.1	494
MG450847.1	494
MG450846.1	494
MG450845.1	494
MG450844.1	494
MG450843.1	494
MG450842.1	494
MG450841.1	494
MG450840.1	494
MG450839.1	494
MG450838.1	494
MG450837.1	494
MG450836.1	494
MG450835.1	494
MG450834.1	494
MG450833.1	494
MG450832.1	494
MG450831.1	494
MG450830.1	494
MG450829.1	494
MG450828.1	494
MG450827.1	494
MG450826.1	494
MG450825.1	494
MG450824.1	494
MG450823.1	494
MG450822.1	494
MG450821.1	494
MG450820.1	494
MG450819.1	494
MG450818.1	494
MG450817.1	494
MG450816.1	494
MG450815.1	494
MG450814.1	494
MG450813.1	494
MG450812.1	494
MG450811.1	494
MG450810.1	494
MG450809.1	494
MG450808.1	494
MG450807.1	494
MG450806.1	494
MG450805.1	494
MG450804.1	494
MG450803.1	494
MG450802.1	494
MG450801.1	494
MG450800.1	494
MG450799.1	494
MG450798.1	494
MG450797.1	494
MG450796.1	494
MG450795.1	494
MG877557.1	10751
MG877556.1	10718
MG877555.1	10719
MG877554.1	10719
MG877553.1	10719
MG877552.1	10625
MH378766.1	330
MG516715.1	432
MG516716.1	437
MG516717.1	448
MG544874.1	422
MG544876.1	432
MG551548.1	459
MG551547.1	448
MG544875.1	447
MG551549.1	447
MH178419.1	1485
MH178418.1	1485
MH178417.1	1479
MH178416.1	1479
MH178415.1	1485
MH178414.1	1485
MH178413.1	1485
MH178412.1	1485
MH178411.1	1485
MH173175.1	1485
MH173174.1	1485
MH173173.1	1479
MH173172.1	1479
MH173171.1	1479
MH173170.1	1479
MH173169.1	1479
MH173168.1	1479
MH173167.1	1479
MH173166.1	1479
MH173165.1	1485
MH173164.1	1485
MH173163.1	1485
MH173162.1	1485
MH173161.1	1485
MH173160.1	1485
MH173159.1	1485
MG193641.1	514
MG193640.1	501
MG193639.1	512
MG193638.1	449
MG193637.1	509
MG193636.1	500
MG193635.1	510
MG193634.1	485
MG049799.1	457
MG049798.1	466
MG049797.1	491
MG049796.1	482
MG049795.1	500
MG049794.1	485
MG049793.1	509
MG049792.1	495
MG049791.1	483
MG049790.1	492
MG049789.1	481
MG049788.1	461
MG885749.1	1362
MG271950.1	1485
MG271949.1	1485
MG271948.1	1485
MG271947.1	1485
MG271946.1	1411
MG271945.1	1485
MG271944.1	1485
MG271943.1	1485
MG271942.1	1464
MG491369.1	448
MG491368.1	452
MG491366.1	449
MG491365.1	441
MG491364.1	451
MG491363.1	452
MG491362.1	435
MG491361.1	454
MG491360.1	448
MG491359.1	451
MG491358.1	447
MG491357.1	439
MG491356.1	441
MG491355.1	448
MG491354.1	442
MG491353.1	449
MG491389.1	410
MG491388.1	407
MG491387.1	403
MG491386.1	404
MG491385.1	403
MG491384.1	406
MG491383.1	432
MG491382.1	414
MG491381.1	451
MG491380.1	449
MG491379.1	453
MG491378.1	441
MG491377.1	448
MG491376.1	450
MG491375.1	449
MG491374.1	447
MG491373.1	447
MG491372.1	449
MG491371.1	444
MG491370.1	441
MG491367.1	424
MG491352.1	421
MG491351.1	447
MG491350.1	429
MG491349.1	412
MG491348.1	442
MG491347.1	433
MG491346.1	415
MG491345.1	450
MG491344.1	452
MG491343.1	432
MG491342.1	421
MG491341.1	423
MG491340.1	449
MG491339.1	452
MG491338.1	407
MG491337.1	422
MG491336.1	448
MG491335.1	443
MG491334.1	438
MG491333.1	448
MG491332.1	429
MG491331.1	432
MG491330.1	445
MG491329.1	432
MG491328.1	446
MG491327.1	419
MG491326.1	441
MH782234.1	454
MH782233.1	454
MH645479.1	483
MH645478.1	483
MH645477.1	480
MH645476.1	483
MH645475.1	483
MH645474.1	483
MH645473.1	483
MH645472.1	483
MH645471.1	483
MH645470.1	483
MH645469.1	482
MH645468.1	458
MH645467.1	483
MH645466.1	483
MH645465.1	485
MH645464.1	486
MH645463.1	482
MH645462.1	484
MH645461.1	484
MH645460.1	482
MH645459.1	484
MH645458.1	486
MH645457.1	486
MH645456.1	486
MH645455.1	482
MH645454.1	486
MH645453.1	486
MH645452.1	486
MH645451.1	480
MH645450.1	484
MH645449.1	486
MH645448.1	482
MH645447.1	460
MH645446.1	486
MH645445.1	486
MH645444.1	483
MH680526.1	1430
MH680525.1	1485
MH680524.1	1485
MH680523.1	1485
MH680522.1	1485
MH680521.1	1485
MH680520.1	1485
MH680519.1	1485
MH680518.1	1485
MH680517.1	1485
MH680516.1	1485
